wilayah,tahun,bulan,hujan_mm,HTH_hari,hujan_normal_mm,rasio_hujan_terhadap_normal,sifat_hujan,KAT_value,KAT_normal,rasio_KAT_terhadap_normal,produksi_padi_bulanan,luas_panen_bulanan,tanggal,hujan_score,HTH_score,KAT_score,climate_score,freq_penurunan,volatilitas,historical_score,final_score,risk_label,risk_label_bulan_depan,final_score_bulan_depan,hujan_mm_lag1,hujan_mm_roll3,rasio_hujan_terhadap_normal_lag1,rasio_hujan_terhadap_normal_roll3,HTH_hari_lag1,HTH_hari_roll3,rasio_KAT_terhadap_normal_lag1,rasio_KAT_terhadap_normal_roll3,climate_score_lag1,climate_score_roll3,faktor_dominan,rekomendasi_aksi
BLITAR,2026,2,415.6204125198576,2,313.2108591167477,1.3277618700003189,AN,448.4994727995714,429.4822998973523,1.0463678878019644,,,2026-02-01,0,0,0,0,0.4285714285714285,0.1478668912964074,2,2,low,medium,3.0,380.03914995969865,383.4302363483645,1.2875397729377591,1.2438943898145516,2.0,2.333333333333333,1.0414636175676566,1.0923411174832376,1.0,0.3333333333333333,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
BLITAR,2026,3,290.7590059912098,3,289.5408796091913,1.0080178172667895,N,432.1883261058978,426.2106679692442,1.0166760406018078,,,2026-03-01,0,0,1,1,0.4285714285714285,0.1478668912964074,2,3,medium,,,415.6204125198576,362.1395228235887,1.3277618700003189,1.2077731534016225,2.0,2.333333333333333,1.0463678878019644,1.034835848657143,0.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
BOJONEGORO,2026,1,319.14089945225624,2,294.41868169578646,1.083969595998716,N,442.79243084942846,435.27563804343896,1.0173000967100163,,,2026-01-01,0,0,1,1,0.2857142857142857,0.0444347144821429,1,2,low,low,2.0,393.44112096879286,383.5443678974736,1.217305269623817,1.4248405552128312,1.0,1.0,1.0967902708243145,1.169273600189588,0.0,0.3333333333333333,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
BOJONEGORO,2026,2,364.5203179451785,0,315.02078534805275,1.157131004998403,AN,441.5394190281998,443.0080543047116,0.9966559184436364,,,2026-02-01,0,0,1,1,0.2857142857142857,0.0444347144821429,1,2,low,low,2.0,319.14089945225624,359.0341127887425,1.083969595998716,1.1528019568736452,2.0,1.0,1.0173000967100163,1.0369154286593223,1.0,0.6666666666666666,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
BOJONEGORO,2026,3,323.335074705495,1,305.21019842263496,1.0593848972823705,N,435.1205595793549,443.20535033426165,0.982018676298696,,,2026-03-01,0,0,1,1,0.2857142857142857,0.0444347144821429,1,2,low,,,364.5203179451785,335.6654307009766,1.157131004998403,1.1001618327598297,0.0,1.0,0.9966559184436364,0.9986582304841164,1.0,1.0,"Ketersediaan air rendah, Sensitivitas historis wilayah",Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,1,450.9007006894865,2,401.9065984158709,1.121904199798479,N,600.1035539931144,539.1509467968042,1.1172578915719555,,,2026-01-01,0,0,0,0,0.1428571428571428,0.0502750234435367,0,0,low,low,0.0,410.40259797012703,441.3910598565188,1.1416556168696723,1.4716200290321872,0.0,0.6666666666666666,1.2006715600105893,1.1910846414633218,0.0,0.0,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,2,562.4570607103465,1,379.8692487381625,1.480659628487166,AN,611.5991952868475,557.4901877140652,1.0999331862365709,,,2026-02-01,0,0,0,0,0.1428571428571428,0.0502750234435367,0,0,low,low,1.0,450.9007006894865,474.5867864566533,1.121904199798479,1.2480731483851055,2.0,1.0,1.1172578915719555,1.1392875459397052,0.0,0.0,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
BONDOWOSO,2026,3,393.8320807825693,4,332.93148503302496,1.1829223083046752,AN,594.1232810642407,566.714287025341,1.0509221063015155,,,2026-03-01,0,1,0,1,0.1428571428571428,0.0502750234435367,0,1,low,,,562.4570607103465,469.0632807274674,1.480659628487166,1.2618287121967733,1.0,2.333333333333333,1.0999331862365709,1.0893710613700138,0.0,0.3333333333333333,HTH panjang,Pantau rutin; belum membutuhkan intervensi prioritas.
GRESIK,2026,1,351.2904519273497,2,343.3749547020332,1.023052051749625,N,387.5502069418322,373.6441222945719,1.054127672318221,,,2026-01-01,0,0,0,0,0.2857142857142857,0.1121941454745551,2,2,low,medium,3.0,360.2525311082535,365.7764248396576,1.1904977343940912,1.553101434775017,0.0,0.6666666666666666,1.2031744031935456,1.2449083043478948,0.0,0.0,Sensitivitas historis wilayah,Pantau rutin; belum membutuhkan intervensi prioritas.
GRESIK,2026,2,335.78513812854163,3,291.6357736257894,1.1513852843012404,AN,388.3049002439397,390.84658226982384,1.015156023956742,,,2026-02-01,0,0,1,1,0.2857142857142857,0.1121941454745551,2,3,medium,medium,3.0,351.2904519273497,349.10937372138164,1.023052051749625,1.1216450234816522,2.0,1.6666666666666667,1.054127672318221,1.0908193664895032,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
