ADM2_NAME,tahun,bulan,total_hujan,max_hth,nilai_normal_30th,anomali_persen,sifat_hujan_30th,kat_value,kat_normal,kat_anomaly_pct,produksi_ton,luas_panen_hektar
PROBOLINGGO,2021,8,38.11257682823637,21,21.185176173897062,179.9021000127254,AN,400.7201972288244,382.29993247985846,105.41801497371225,12791.82,82.0
PROBOLINGGO,2021,8,38.11257682823637,21,21.185176173897062,179.9021000127254,AN,400.7201972288244,382.29993247985846,105.41801497371225,513.88,2574.0
PROBOLINGGO,2021,8,38.11257682823637,21,21.185176173897062,179.9021000127254,AN,400.7201972288244,382.29993247985846,105.41801497371225,513.88,82.0
PROBOLINGGO,2021,9,51.579750171954544,10,19.717772164523023,261.5901519785223,AN,385.68153869404506,342.2819124109605,113.61244331827272,7362.64,1382.0
PROBOLINGGO,2021,9,51.579750171954544,10,19.717772164523023,261.5901519785223,AN,385.68153869404506,342.2819124109605,113.61244331827272,7362.64,45.0
PROBOLINGGO,2021,9,51.579750171954544,10,19.717772164523023,261.5901519785223,AN,385.68153869404506,342.2819124109605,113.61244331827272,248.86,1382.0
PROBOLINGGO,2021,9,51.579750171954544,10,19.717772164523023,261.5901519785223,AN,385.68153869404506,342.2819124109605,113.61244331827272,248.86,45.0
PROBOLINGGO,2021,10,87.18085464296458,12,97.09377874700836,89.79036120339562,N,360.21866994745585,330.3009221133064,109.83059278613902,3487.65,655.0
PROBOLINGGO,2021,10,87.18085464296458,12,97.09377874700836,89.79036120339562,N,360.21866994745585,330.3009221133064,109.83059278613902,3487.65,
PROBOLINGGO,2021,10,87.18085464296458,12,97.09377874700836,89.79036120339562,N,360.21866994745585,330.3009221133064,109.83059278613902,-,655.0
PROBOLINGGO,2021,10,87.18085464296458,12,97.09377874700836,89.79036120339562,N,360.21866994745585,330.3009221133064,109.83059278613902,-,
PROBOLINGGO,2021,11,395.7198840697095,2,179.951673572073,219.9034197429781,AN,474.3780150694005,368.2420304242303,130.3767641643721,5926.23,1112.0
PROBOLINGGO,2021,11,395.7198840697095,2,179.951673572073,219.9034197429781,AN,474.3780150694005,368.2420304242303,130.3767641643721,5926.23,34.0
PROBOLINGGO,2021,11,395.7198840697095,2,179.951673572073,219.9034197429781,AN,474.3780150694005,368.2420304242303,130.3767641643721,187.64,1112.0
PROBOLINGGO,2021,11,395.7198840697095,2,179.951673572073,219.9034197429781,AN,474.3780150694005,368.2420304242303,130.3767641643721,187.64,34.0
PROBOLINGGO,2021,12,460.5882063078468,1,305.3775996425699,150.82579955011224,AN,619.3993055680219,470.74768582512354,133.02332020488925,7037.1,1321.0
PROBOLINGGO,2021,12,460.5882063078468,1,305.3775996425699,150.82579955011224,AN,619.3993055680219,470.74768582512354,133.02332020488925,7037.1,13.0
PROBOLINGGO,2021,12,460.5882063078468,1,305.3775996425699,150.82579955011224,AN,619.3993055680219,470.74768582512354,133.02332020488925,69.89,1321.0
PROBOLINGGO,2021,12,460.5882063078468,1,305.3775996425699,150.82579955011224,AN,619.3993055680219,470.74768582512354,133.02332020488925,69.89,13.0
PROBOLINGGO,2022,1,401.2022313409555,1,356.30157374221045,112.60186900864812,N,613.8931640737196,560.1030236973482,110.26782489834127,7271.86,1308.08
PROBOLINGGO,2022,1,401.2022313409555,1,356.30157374221045,112.60186900864812,N,613.8931640737196,560.1030236973482,110.26782489834127,7271.86,18.86
PROBOLINGGO,2022,1,401.2022313409555,1,356.30157374221045,112.60186900864812,N,613.8931640737196,560.1030236973482,110.26782489834127,118.83,1308.08
PROBOLINGGO,2022,1,401.2022313409555,1,356.30157374221045,112.60186900864812,N,613.8931640737196,560.1030236973482,110.26782489834127,118.83,18.86
PROBOLINGGO,2022,2,246.9707003765229,1,364.53233272906914,67.75001233157515,BN,590.2711710088392,587.1255266526167,100.74469154699216,6921.8,1245.11
PROBOLINGGO,2022,2,246.9707003765229,1,364.53233272906914,67.75001233157515,BN,590.2711710088392,587.1255266526167,100.74469154699216,6921.8,0.0
PROBOLINGGO,2022,2,246.9707003765229,1,364.53233272906914,67.75001233157515,BN,590.2711710088392,587.1255266526167,100.74469154699216,0,1245.11
PROBOLINGGO,2022,2,246.9707003765229,1,364.53233272906914,67.75001233157515,BN,590.2711710088392,587.1255266526167,100.74469154699216,0,0.0
PROBOLINGGO,2022,3,420.42032343651147,1,327.09265686406,128.53248601396714,AN,608.1598926431993,587.6801842521219,103.83348294706664,35499.13,6431.87
PROBOLINGGO,2022,3,420.42032343651147,1,327.09265686406,128.53248601396714,AN,608.1598926431993,587.6801842521219,103.83348294706664,35499.13,155.09
PROBOLINGGO,2022,3,420.42032343651147,1,327.09265686406,128.53248601396714,AN,608.1598926431993,587.6801842521219,103.83348294706664,977.15,6431.87
PROBOLINGGO,2022,3,420.42032343651147,1,327.09265686406,128.53248601396714,AN,608.1598926431993,587.6801842521219,103.83348294706664,977.15,155.09
PROBOLINGGO,2022,4,162.1488146447181,7,179.2460021035137,90.4616073674424,N,605.7347063737757,570.0204991172342,106.80329559479856,50329,9067.0
PROBOLINGGO,2022,4,162.1488146447181,7,179.2460021035137,90.4616073674424,N,605.7347063737757,570.0204991172342,106.80329559479856,50329,569.2
PROBOLINGGO,2022,4,162.1488146447181,7,179.2460021035137,90.4616073674424,N,605.7347063737757,570.0204991172342,106.80329559479856,3586.28,9067.0
PROBOLINGGO,2022,4,162.1488146447181,7,179.2460021035137,90.4616073674424,N,605.7347063737757,570.0204991172342,106.80329559479856,3586.28,569.2
PROBOLINGGO,2022,5,274.30671671241515,3,113.00453982475062,242.73955465666663,AN,586.6329544852762,528.6285600662231,111.71578348257272,25241.97,4734.75
PROBOLINGGO,2022,5,274.30671671241515,3,113.00453982475062,242.73955465666663,AN,586.6329544852762,528.6285600662231,111.71578348257272,25241.97,470.2
PROBOLINGGO,2022,5,274.30671671241515,3,113.00453982475062,242.73955465666663,AN,586.6329544852762,528.6285600662231,111.71578348257272,2831.75,4734.75
PROBOLINGGO,2022,5,274.30671671241515,3,113.00453982475062,242.73955465666663,AN,586.6329544852762,528.6285600662231,111.71578348257272,2831.75,470.2
PROBOLINGGO,2022,6,131.48416049194557,10,64.44518332513616,204.02480636696643,AN,582.1510143280028,487.7161423178281,120.5270374142012,13152.43,2467.06
PROBOLINGGO,2022,6,131.48416049194557,10,64.44518332513616,204.02480636696643,AN,582.1510143280028,487.7161423178281,120.5270374142012,13152.43,49.37
PROBOLINGGO,2022,6,131.48416049194557,10,64.44518332513616,204.02480636696643,AN,582.1510143280028,487.7161423178281,120.5270374142012,297.33,2467.06
PROBOLINGGO,2022,6,131.48416049194557,10,64.44518332513616,204.02480636696643,AN,582.1510143280028,487.7161423178281,120.5270374142012,297.33,49.37
PROBOLINGGO,2022,7,50.20345147399735,21,51.127797391179584,98.19208734905976,N,517.0387060501996,436.1499632106109,119.84008576370546,9369.18,1757.42
PROBOLINGGO,2022,7,50.20345147399735,21,51.127797391179584,98.19208734905976,N,517.0387060501996,436.1499632106109,119.84008576370546,9369.18,0.0
